Designator,Mid X,Mid Y,Layer,Rotation
C1,74.4855,-41.529,T,90
C2,74.4855,-29.8045,T,270
C3,59.3725,-37.0205,T,270
C4,55.88,-37.084,T,0
C5,58.928,-27.663,T,270
C6,60.221,-30.988,T,180
C7,60.221,-32.258,T,180
C9,60.221,-33.528,T,180
C10,60.221,-34.798,T,180
C11,52.07,-40.894,T,0
C13,67.6275,-41.7195,T,0
D1,60.706,-28.194,T,90
D2,73.7235,-32.893,T,180
D3,73.7235,-36.322,T,180
D4,62.992,-27.2415,T,180
D5,55.88,-39.878,T,270
J1,39.37,-36.195,T,180
R1,82.804,-30.734,T,0
R2,52.07,-35.306,T,0
R3,82.804,-33.274,T,0
R4,58.293,-37.0205,T,90
R5,58.293,-39.9415,T,90
R6,59.3725,-39.9415,T,270
R7,67.183,-30.0355,T,0
R8,73.7235,-34.036,T,0
R9,73.7235,-35.179,T,0
R10,73.406,-38.0365,T,270
R11,62.992,-28.5115,T,0
R12,82.804,-38.354,T,0
R13,82.804,-40.894,T,0
U1,54.61,-30.226,T,270
U2,67.3735,-35.814,T,270
U3,52.832,-38.1,T,90
Y1,77.7875,-35.687,T,90
