Comment,Designator,Footprint,LCSC
20pF,"C1,C2",Capacitor_SMD:C_0402_1005Metric,
1uF,C11,Capacitor_SMD:C_0402_1005Metric,
100nF,"C3,C4,C6,C7,C9,C10,C13",Capacitor_SMD:C_0402_1005Metric,
10uF,C5,Capacitor_SMD:C_0402_1005Metric,
LED G,D2,LED_SMD:LED_0402_1005Metric,
LED R,"D3,D4",LED_SMD:LED_0402_1005Metric,
BAT60_SOD323,"D1,D5",Diode_SMD:D_SOD-323,
USB_A,J1,Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal,
Conn_02x05_Top_Bottom,J2,Connector_PCBEdge:Edge_Mount_Connector_10pin,
Conn_01x04,J3,Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,
22,"R1,R3,R12,R13",Resistor_SMD:R_0402_1005Metric,
1k,R11,Resistor_SMD:R_0402_1005Metric,
1k5,R2,Resistor_SMD:R_0402_1005Metric,
100k,"R4,R7",Resistor_SMD:R_0402_1005Metric,
4k7,"R5,R6",Resistor_SMD:R_0402_1005Metric,
100,"R8,R9,R10",Resistor_SMD:R_0402_1005Metric,
LD1117S33TR_SOT223,U1,Package_TO_SOT_SMD:SOT-223-3_TabPin2,
STM32F103CBTx,U2,Package_QFP:LQFP-48_7x7mm_P0.5mm,
USBLC6-2SC6,U3,Package_TO_SOT_SMD:SOT-23-6,
8MHz,Y1,Crystal:Crystal_SMD_HC49-SD,
